Name of the hotel,City,Budget for 1 day and night,Rating of the hotel
Hotel Oasis,Chennai,14496,3.1
Bay Heights,Chennai,13408,4.1
Grand Lounge,Kolkata,2798,4.1
Suites Suites,Kolkata,1796,3.0
Heights Retreat,Kolkata,10095,4.8
Suites Retreat,Kolkata,4431,3.4
Inn Residency,Kolkata,9198,3.4
Regency Inn,Kolkata,11198,2.5
Grand Lounge,Bengaluru,11718,4.2
Regency Heights,Bengaluru,4171,3.7
Hotel Suites,Bengaluru,8008,3.3
Bay Vista,Bengaluru,10176,2.8
Heights Gardens,Bengaluru,8458,4.2
Palace Heights,Bengaluru,10346,4.7
Suites Palace,Bengaluru,4666,4.7
Suites Gardens,Bengaluru,5370,4.2
Royal Palace,Bengaluru,13475,4.3
Suites Heights,Hyderabad,13194,4.6
Hotel Vista,Hyderabad,3833,2.5
Bay Lounge,Hyderabad,13895,2.6
Hotel Retreat,Hyderabad,9856,2.8
Regency Palace,Hyderabad,9622,4.3
Resort Gardens,Hyderabad,9188,3.6
Grand Lounge,Hyderabad,8658,4.5
Resort Palace,Hyderabad,2357,3.1
Royal Palace,Hyderabad,7153,3.2
Royal Gardens,Pune,8061,3.0
Regency Residency,Pune,8402,4.3
Bay Oasis,Pune,3663,4.9
Regency Inn,Pune,3984,2.8
Bay Gardens,Pune,2212,4.4
Plaza Inn,Pune,4067,4.6
Resort Inn,Pune,1256,4.1
Inn Residency,Pune,3810,2.7
Heights Residency,Pune,2477,3.2
Palace Suites,Ahmedabad,9572,4.4
Heights Palace,Ahmedabad,6020,4.7
Bay Palace,Ahmedabad,14942,4.2
Bay Gardens,Ahmedabad,11738,4.4
Heights Vista,Ahmedabad,8915,2.5
Royal Vista,Ahmedabad,7541,4.8
Grand Lounge,Ahmedabad,5180,3.9
Plaza Vista,Ahmedabad,5966,3.6
Resort Heights,Ahmedabad,1121,2.9
Grand Vista,Ahmedabad,6697,3.7
Plaza Suites,Jaipur,13813,5.0
Plaza Suites,Jaipur,13596,4.1
Grand Vista,Jaipur,11786,3.6
Regency Lounge,Jaipur,14025,4.9
Grand Gardens,Jaipur,3088,4.9
Resort Suites,Jaipur,4102,2.6
Suites Retreat,Jaipur,1932,2.9
Palace Gardens,Jaipur,5483,4.5
Regency Residency,Lucknow,2221,2.5
Resort Residency,Lucknow,2883,3.3
Heights Gardens,Lucknow,9683,3.4
Bay Suites,Lucknow,7065,2.8
Royal Gardens,Lucknow,9217,3.4
Grand Retreat,Lucknow,9472,2.7
Regency Lounge,Delhi,8864,3.3
Royal Inn,Delhi,2283,5.0
Hotel Oasis,Delhi,5810,3.3
Heights Lounge,Delhi,6883,4.8
Palace Lounge,Delhi,2597,4.5
Suites Inn,Delhi,14096,4.1
Hotel Suites,Delhi,9685,4.9
Grand Inn,Mumbai,12610,3.8
Inn Oasis,Mumbai,14767,3.0
Suites Vista,Mumbai,11046,4.2
Heights Oasis,Mumbai,5565,2.7
Plaza Vista,Mumbai,13360,4.2
Heights Gardens,Mumbai,10387,4.4
Heights Suites,Chennai,13080,4.7
Plaza Inn,Chennai,8524,4.4
Inn Oasis,Chennai,1514,4.9
Resort Gardens,Chennai,6492,4.2
Royal Gardens,Chennai,3713,2.6
Regency Gardens,Chennai,7172,4.1
Bay Retreat,Chennai,7022,3.5
Plaza Retreat,Kolkata,9600,3.9
Inn Oasis,Kolkata,13829,4.2
Grand Vista,Kolkata,10625,2.6
Suites Suites,Kolkata,5290,3.8
Grand Vista,Kolkata,5827,4.3
Plaza Suites,Kolkata,5223,3.1
Grand Inn,Bengaluru,11777,3.2
Royal Oasis,Bengaluru,7383,4.3
Suites Suites,Bengaluru,10951,4.9
Plaza Vista,Bengaluru,3361,4.4
Palace Vista,Bengaluru,12307,2.9
Grand Retreat,Bengaluru,1760,2.9
Grand Retreat,Bengaluru,2078,3.0
Hotel Gardens,Bengaluru,6761,3.2
Hotel Heights,Bengaluru,2548,4.9
Grand Inn,Hyderabad,11335,3.3
Plaza Gardens,Hyderabad,9655,4.9
Plaza Lounge,Hyderabad,2100,4.9
Inn Palace,Hyderabad,9327,4.1
Heights Heights,Hyderabad,14398,3.1
Palace Oasis,Hyderabad,13324,3.0
Royal Gardens,Hyderabad,2122,3.0
Resort Inn,Hyderabad,8300,5.0
Royal Lounge,Hyderabad,12585,2.7
Bay Residency,Pune,7356,3.6
Resort Suites,Pune,8821,4.4
Royal Lounge,Pune,3820,4.1
Regency Heights,Pune,5153,4.5
Royal Residency,Pune,5482,4.5
Suites Palace,Pune,3891,4.7
Grand Heights,Pune,9899,3.8
Royal Oasis,Pune,3352,4.8
Regency Lounge,Pune,9431,2.6
Resort Retreat,Ahmedabad,1287,2.9
Bay Retreat,Ahmedabad,12833,4.8
Regency Residency,Ahmedabad,14708,4.8
Hotel Retreat,Ahmedabad,13948,4.1
Inn Lounge,Ahmedabad,13595,3.5
Inn Residency,Ahmedabad,6252,4.7
Suites Vista,Ahmedabad,7117,3.8
Royal Vista,Ahmedabad,4583,2.6
Heights Inn,Ahmedabad,4507,4.5
Royal Heights,Ahmedabad,10381,4.1
Resort Inn,Jaipur,1561,3.2
Regency Heights,Jaipur,6919,3.9
Suites Oasis,Jaipur,5178,4.8
Palace Retreat,Jaipur,5436,3.6
Suites Inn,Jaipur,10929,3.2
Inn Retreat,Jaipur,10723,4.5
Inn Lounge,Jaipur,12689,3.6
Regency Residency,Jaipur,6724,2.9
Heights Palace,Lucknow,6547,2.5
Grand Residency,Lucknow,14695,4.2
Regency Heights,Lucknow,6956,4.3
Heights Oasis,Lucknow,5908,4.1
Inn Inn,Lucknow,13079,2.7
Royal Lounge,Lucknow,8325,4.4
Suites Gardens,Delhi,9409,2.7
Palace Residency,Delhi,7276,4.1
Palace Retreat,Delhi,13252,4.8
Grand Palace,Delhi,12922,5.0
Regency Retreat,Delhi,9851,4.9
Resort Lounge,Delhi,8152,3.6
Inn Heights,Delhi,8773,3.8
Regency Palace,Mumbai,1083,2.9
Palace Inn,Mumbai,6718,3.9
Grand Retreat,Mumbai,4059,4.5
Palace Gardens,Mumbai,14089,4.7
Bay Lounge,Mumbai,8293,3.2
Royal Residency,Mumbai,13150,4.1
Royal Suites,Chennai,9474,4.3
Inn Heights,Chennai,12155,4.0
Grand Retreat,Chennai,11228,3.1
Suites Heights,Chennai,12311,4.3
Regency Vista,Chennai,10011,4.0
Resort Lounge,Chennai,5211,2.9
Bay Residency,Chennai,1353,4.7
Bay Oasis,Kolkata,12671,4.7
Resort Residency,Kolkata,2049,3.0
Royal Oasis,Kolkata,10312,4.7
Suites Lounge,Kolkata,4024,4.6
Grand Gardens,Kolkata,14415,3.1
Bay Heights,Kolkata,1129,2.6
Bay Inn,Bengaluru,3019,2.6
Inn Retreat,Bengaluru,10572,2.9
Grand Inn,Bengaluru,7972,2.6
Heights Gardens,Bengaluru,11874,2.9
Grand Residency,Bengaluru,8687,3.9
Plaza Residency,Bengaluru,6090,3.5
Plaza Palace,Bengaluru,5242,4.6
Heights Inn,Bengaluru,12736,2.9
Hotel Inn,Bengaluru,2362,4.8
Bay Retreat,Hyderabad,2074,3.0
Royal Heights,Hyderabad,13285,4.5
Palace Retreat,Hyderabad,7296,3.5
Regency Retreat,Hyderabad,7590,3.4
Royal Palace,Hyderabad,11574,3.7
Palace Oasis,Hyderabad,6522,4.3
Plaza Heights,Hyderabad,11331,4.9
Hotel Retreat,Hyderabad,13945,4.4
Hotel Gardens,Hyderabad,10333,4.7
Heights Heights,Pune,5386,3.6
Palace Residency,Pune,7394,4.0
Plaza Retreat,Pune,1295,3.0
Inn Heights,Pune,12118,4.7
Suites Lounge,Pune,12582,2.9
Palace Oasis,Pune,9725,4.8
Palace Vista,Pune,7821,2.8
Grand Oasis,Pune,11381,3.0
Heights Inn,Pune,3690,4.1
Palace Suites,Ahmedabad,4023,4.8
Royal Vista,Ahmedabad,3169,3.1
Plaza Inn,Ahmedabad,7239,4.4
Resort Gardens,Ahmedabad,909,4.6
Plaza Heights,Ahmedabad,972,3.7
Suites Suites,Ahmedabad,11907,4.0
Palace Oasis,Ahmedabad,10440,4.6
Bay Gardens,Ahmedabad,3321,3.1
Royal Suites,Ahmedabad,4342,4.5
Grand Oasis,Ahmedabad,1638,2.8
Resort Inn,Jaipur,1137,3.9
Plaza Residency,Jaipur,8477,2.6
Regency Residency,Jaipur,4890,3.2
Hotel Vista,Jaipur,10677,4.2
Inn Residency,Jaipur,8079,3.2
Palace Palace,Jaipur,12090,4.3
Plaza Vista,Jaipur,14324,3.5
Inn Vista,Jaipur,10202,3.6
Bay Oasis,Lucknow,9022,4.4
Grand Suites,Lucknow,8483,3.2
Inn Retreat,Lucknow,9282,3.8
Grand Suites,Lucknow,8472,3.0
Royal Oasis,Lucknow,10495,4.2
Inn Residency,Lucknow,11233,3.1
Plaza Retreat,Delhi,13414,3.5
Suites Heights,Delhi,1204,3.7
Bay Lounge,Delhi,3975,2.7
Suites Oasis,Delhi,9291,3.1
Suites Palace,Delhi,996,2.7
Plaza Oasis,Delhi,7335,3.2
Royal Lounge,Delhi,6234,3.2
Grand Gardens,Mumbai,11652,4.7
Palace Inn,Mumbai,11484,4.0
Regency Heights,Mumbai,5025,4.9
Plaza Inn,Mumbai,2282,3.5
Plaza Suites,Mumbai,8949,3.6
Grand Heights,Mumbai,9284,3.0
Inn Retreat,Chennai,5451,4.0
Resort Vista,Chennai,11111,3.0
Inn Vista,Chennai,14119,3.9
Palace Retreat,Chennai,1780,3.4
Heights Heights,Chennai,14268,4.3
Plaza Vista,Chennai,4086,2.8
Resort Lounge,Chennai,14483,4.7
Inn Oasis,Kolkata,2523,2.7
Suites Vista,Kolkata,5246,3.3
Royal Heights,Kolkata,5783,3.9
Hotel Palace,Kolkata,1947,3.4
Resort Vista,Kolkata,11612,3.1
Royal Heights,Kolkata,8673,3.2
Hotel Residency,Bengaluru,10256,2.8
Heights Retreat,Bengaluru,4165,4.2
Palace Retreat,Bengaluru,4357,4.2
Suites Suites,Bengaluru,4108,3.6
Royal Palace,Bengaluru,2772,2.9
Suites Heights,Bengaluru,1592,4.1
Palace Suites,Bengaluru,11034,4.5
Palace Heights,Bengaluru,9710,2.5
Regency Residency,Bengaluru,5719,3.7
Plaza Residency,Hyderabad,7610,3.9
Resort Gardens,Hyderabad,13595,3.8
Grand Oasis,Hyderabad,8347,3.3
Royal Residency,Hyderabad,10595,4.1
Inn Vista,Hyderabad,12002,3.3
Hotel Heights,Hyderabad,5715,5.0
Hotel Lounge,Hyderabad,2214,4.9
Heights Residency,Hyderabad,3985,3.1
Heights Heights,Hyderabad,2323,4.0
Regency Palace,Pune,5754,2.6
Regency Palace,Pune,14425,3.1
Resort Oasis,Pune,5615,3.4
Plaza Gardens,Pune,11853,5.0
Grand Palace,Pune,5661,2.8
Palace Vista,Pune,5947,3.8
Suites Inn,Pune,5470,2.5
Resort Lounge,Pune,12513,4.3
Inn Residency,Pune,9468,3.0
Inn Residency,Ahmedabad,8292,5.0
Grand Residency,Ahmedabad,11140,4.0
Palace Residency,Ahmedabad,13865,3.7
Grand Palace,Ahmedabad,2007,3.8
Suites Oasis,Ahmedabad,6800,2.8
Regency Lounge,Ahmedabad,8776,5.0
Hotel Suites,Ahmedabad,3780,2.7
Palace Gardens,Ahmedabad,9288,4.9
Heights Gardens,Ahmedabad,10649,4.3
Bay Suites,Ahmedabad,14988,4.6
Suites Gardens,Jaipur,12549,4.2
Palace Suites,Jaipur,1562,4.1
Resort Heights,Jaipur,14112,3.6
Inn Vista,Jaipur,6327,4.6
Inn Suites,Jaipur,3080,4.4
Regency Retreat,Jaipur,3647,3.8
Resort Retreat,Jaipur,12688,3.1
Heights Palace,Jaipur,9238,3.7
Inn Palace,Lucknow,5209,2.7
Palace Inn,Lucknow,4156,3.9
Plaza Retreat,Lucknow,1650,4.6
Heights Retreat,Lucknow,1560,4.7
Palace Inn,Lucknow,2321,3.5
Grand Palace,Lucknow,5954,2.9
Regency Vista,Delhi,9787,4.5
Resort Palace,Delhi,4104,2.9
Hotel Retreat,Delhi,13747,4.9
Palace Vista,Delhi,11135,2.9
Inn Suites,Delhi,1712,4.7
Heights Oasis,Delhi,2113,3.2
Regency Gardens,Delhi,8403,4.5
Palace Oasis,Mumbai,13425,3.7
Heights Palace,Mumbai,5998,2.7
Suites Residency,Mumbai,5064,3.2
Plaza Lounge,Mumbai,1685,4.7
Grand Lounge,Mumbai,4538,4.1
Resort Residency,Mumbai,10969,4.9
Resort Lounge,Chennai,1419,2.8
Royal Palace,Chennai,13336,2.7
Inn Gardens,Chennai,2180,3.2
Royal Palace,Chennai,14295,5.0
Palace Lounge,Chennai,14771,3.1
Palace Vista,Chennai,4557,4.2
Grand Palace,Chennai,2560,4.0
Royal Lounge,Kolkata,8233,3.5
Resort Inn,Kolkata,2597,2.9
Suites Oasis,Kolkata,920,4.7
Palace Heights,Kolkata,14354,4.8
Heights Palace,Kolkata,10248,3.1
Heights Heights,Kolkata,7051,4.9
Plaza Heights,Bengaluru,2148,4.5
Royal Retreat,Bengaluru,5276,3.1
Inn Suites,Bengaluru,11362,4.8
Hotel Residency,Bengaluru,9666,4.7
Hotel Palace,Bengaluru,4285,3.6
Suites Vista,Bengaluru,2260,4.8
Inn Lounge,Bengaluru,9297,4.6
Heights Inn,Bengaluru,9473,4.6
Resort Retreat,Bengaluru,10762,3.9
Inn Retreat,Hyderabad,11779,3.3
Suites Residency,Hyderabad,4835,4.8
Inn Gardens,Hyderabad,11056,2.7
Hotel Palace,Hyderabad,10337,2.5
Regency Heights,Hyderabad,11300,3.3
Royal Oasis,Hyderabad,4950,4.4
Heights Inn,Hyderabad,9475,4.9
Heights Retreat,Hyderabad,11948,3.9
Regency Residency,Hyderabad,2265,3.2
Hotel Lounge,Pune,2172,4.5
Bay Heights,Pune,6587,4.4
Hotel Residency,Pune,8983,3.2
Grand Gardens,Pune,14006,2.5
Bay Inn,Pune,3854,3.4
Grand Suites,Pune,5192,3.4
Resort Oasis,Pune,14136,4.5
Plaza Gardens,Pune,7932,4.7
Plaza Heights,Pune,11561,3.5
Suites Lounge,Ahmedabad,12518,4.6
Inn Heights,Ahmedabad,1248,4.5
Palace Inn,Ahmedabad,11404,2.5
Inn Heights,Ahmedabad,3849,2.8
Hotel Suites,Ahmedabad,5258,3.4
Inn Retreat,Ahmedabad,4467,4.8
Resort Oasis,Ahmedabad,4114,2.6
Heights Vista,Ahmedabad,9382,3.6
Royal Retreat,Ahmedabad,2994,3.2
Palace Vista,Ahmedabad,8955,4.7
Inn Oasis,Jaipur,2674,2.5
Hotel Vista,Jaipur,10085,4.3
Resort Oasis,Jaipur,13013,4.1
Bay Lounge,Jaipur,9983,3.5
Plaza Suites,Jaipur,12376,3.3
Regency Oasis,Jaipur,2135,2.5
Grand Vista,Jaipur,2053,3.6
Grand Residency,Jaipur,964,4.2
Regency Suites,Lucknow,9602,3.5
Suites Palace,Lucknow,14366,4.2
Heights Heights,Lucknow,9672,4.3
Grand Vista,Lucknow,10733,2.7
Suites Retreat,Lucknow,5389,4.5
Heights Suites,Lucknow,943,4.5
Inn Oasis,Delhi,14338,2.7
Royal Inn,Delhi,8197,3.4
Suites Retreat,Delhi,12385,4.7
Hotel Suites,Delhi,829,4.5
Suites Oasis,Delhi,2236,2.9
Regency Oasis,Delhi,1471,4.4
Heights Retreat,Delhi,6377,3.0
Royal Heights,Mumbai,7193,4.4
Resort Gardens,Mumbai,6806,2.8
Palace Inn,Mumbai,3025,5.0
Suites Palace,Mumbai,6145,2.5
Inn Inn,Mumbai,11158,2.7
Plaza Inn,Mumbai,14067,3.2
Inn Suites,Chennai,9256,4.2
Suites Inn,Chennai,12984,3.9
Bay Oasis,Chennai,2976,3.8
Inn Heights,Chennai,6244,4.2
Royal Inn,Chennai,1254,2.7
Suites Lounge,Chennai,5851,4.7
Palace Inn,Chennai,4199,3.7
Plaza Suites,Kolkata,6507,4.0
Bay Residency,Kolkata,1926,4.1
Royal Inn,Kolkata,13848,2.7
Hotel Retreat,Kolkata,10279,2.8
Inn Lounge,Kolkata,12983,4.8
Palace Inn,Kolkata,6272,4.7
Palace Palace,Bengaluru,5113,3.9
Palace Oasis,Bengaluru,7915,3.9
Palace Lounge,Bengaluru,6443,4.8
Hotel Residency,Bengaluru,10451,3.6
Hotel Suites,Bengaluru,6688,3.7
Regency Gardens,Bengaluru,6139,2.7
Inn Residency,Bengaluru,8582,3.0
Regency Retreat,Bengaluru,6022,3.8
Bay Lounge,Bengaluru,8017,4.2
Palace Suites,Hyderabad,10615,4.6
Heights Inn,Hyderabad,2566,4.7
Hotel Suites,Hyderabad,12309,3.1
Heights Inn,Hyderabad,10903,3.8
Resort Heights,Hyderabad,12148,4.9
Heights Gardens,Hyderabad,5525,3.3
Royal Oasis,Hyderabad,13188,4.9
Suites Oasis,Hyderabad,1702,4.6
Bay Vista,Hyderabad,2213,3.1
Palace Retreat,Pune,7100,3.0
Heights Suites,Pune,2873,2.8
Royal Gardens,Pune,2179,4.4
Hotel Palace,Pune,12895,2.5
Palace Oasis,Pune,5982,3.6
Royal Suites,Pune,6471,4.9
Suites Heights,Pune,9256,4.7
Bay Palace,Pune,7082,3.1
Grand Lounge,Pune,5554,2.6
Resort Suites,Ahmedabad,3661,4.4
Hotel Heights,Ahmedabad,11663,3.4
Plaza Lounge,Ahmedabad,5301,4.9
Suites Inn,Ahmedabad,13111,4.2
Grand Inn,Ahmedabad,9983,3.1
Plaza Residency,Ahmedabad,13701,4.3
Palace Residency,Ahmedabad,11229,2.7
Suites Heights,Ahmedabad,9287,3.2
Bay Heights,Ahmedabad,12434,4.3
Suites Inn,Ahmedabad,7945,4.9
Royal Palace,Jaipur,8789,4.5
Hotel Retreat,Jaipur,5334,4.6
Resort Retreat,Jaipur,12390,3.3
Plaza Suites,Jaipur,7886,4.7
Heights Palace,Jaipur,8505,2.7
Hotel Gardens,Jaipur,2690,3.7
Hotel Inn,Jaipur,3627,2.6
Suites Inn,Jaipur,5613,4.8
Resort Lounge,Lucknow,2619,3.2
Palace Inn,Lucknow,7966,4.5
Bay Palace,Lucknow,991,2.7
Grand Retreat,Lucknow,14729,3.6
Hotel Palace,Lucknow,4687,2.9
Suites Retreat,Lucknow,14850,3.8
Regency Vista,Delhi,1927,4.8
Royal Heights,Delhi,7480,4.7
Resort Lounge,Delhi,10122,4.4
Resort Gardens,Delhi,1482,4.5
Resort Lounge,Delhi,8319,4.9
Plaza Heights,Delhi,7612,3.2
Grand Residency,Delhi,11621,4.3
Regency Lounge,Mumbai,4078,4.1
Suites Gardens,Mumbai,12030,4.1
Bay Retreat,Mumbai,8133,4.1
Regency Suites,Mumbai,3796,4.6
Grand Lounge,Mumbai,3276,4.2
Regency Vista,Mumbai,11379,4.2
Suites Heights,Chennai,9418,4.4
Palace Palace,Chennai,12765,4.1
Heights Vista,Chennai,13460,3.1
Plaza Suites,Chennai,1336,3.1
Royal Retreat,Chennai,7560,2.6
Plaza Gardens,Chennai,11810,3.7
Regency Vista,Chennai,8752,4.9
Grand Heights,Kolkata,3418,2.5
Royal Lounge,Kolkata,6304,4.0
Hotel Heights,Kolkata,4209,3.6
Suites Residency,Kolkata,5002,2.9
Grand Lounge,Kolkata,12733,4.7
Bay Gardens,Kolkata,6710,3.9
Bay Inn,Bengaluru,10513,2.9
Suites Gardens,Bengaluru,7734,3.2
Inn Palace,Bengaluru,10117,3.4
Suites Suites,Bengaluru,1950,5.0
Plaza Palace,Bengaluru,12874,4.5
Resort Palace,Bengaluru,11548,4.5
Palace Suites,Bengaluru,4028,4.9
Grand Retreat,Bengaluru,4602,2.6
Plaza Vista,Bengaluru,5023,4.1
Hotel Palace,Hyderabad,1527,4.7
Grand Lounge,Hyderabad,925,4.2
Regency Residency,Hyderabad,1507,3.6
Plaza Suites,Hyderabad,8210,2.6
Heights Vista,Hyderabad,13670,3.9
Royal Inn,Hyderabad,8071,3.5
Regency Suites,Hyderabad,3367,4.7
Palace Residency,Hyderabad,13586,3.5
Plaza Inn,Hyderabad,13851,3.6
Regency Palace,Pune,12246,3.5
Resort Gardens,Pune,8451,2.6
Palace Oasis,Pune,12982,4.0
Inn Gardens,Pune,6700,4.1
Bay Oasis,Pune,5973,2.8
Grand Residency,Pune,6202,3.4
Resort Inn,Pune,9945,4.3
Plaza Vista,Pune,4416,4.7
Resort Residency,Pune,4673,3.0
Inn Oasis,Ahmedabad,1811,3.9
Plaza Inn,Ahmedabad,4964,4.9
Plaza Palace,Ahmedabad,14545,3.6
Resort Lounge,Ahmedabad,7617,2.6
Regency Residency,Ahmedabad,2682,4.6
Grand Suites,Ahmedabad,14861,4.9
Plaza Suites,Ahmedabad,1790,2.8
Bay Vista,Ahmedabad,6111,3.8
Suites Residency,Ahmedabad,1513,4.3
Inn Lounge,Ahmedabad,1177,4.2
Hotel Heights,Jaipur,4862,4.0
Plaza Retreat,Jaipur,13631,3.4
Grand Suites,Jaipur,3650,4.4
Palace Inn,Jaipur,6702,4.9
Royal Gardens,Jaipur,9826,4.4
Royal Heights,Jaipur,2248,3.4
Plaza Vista,Jaipur,10319,4.9
Plaza Gardens,Jaipur,7389,4.6
Royal Vista,Lucknow,14604,3.1
Inn Residency,Lucknow,7400,4.9
Royal Suites,Lucknow,13692,4.0
Grand Oasis,Lucknow,12694,3.3
Inn Residency,Lucknow,14972,4.0
Plaza Palace,Lucknow,11797,3.3
Suites Residency,Delhi,8737,2.6
Heights Gardens,Delhi,3657,3.8
Palace Palace,Delhi,10829,3.1
Royal Vista,Delhi,9394,3.8
Palace Oasis,Delhi,5779,4.4
Resort Gardens,Delhi,10135,5.0
Heights Gardens,Delhi,2311,3.0
Regency Oasis,Mumbai,12021,4.7
Resort Residency,Mumbai,8483,2.7
Plaza Lounge,Mumbai,7754,3.8
Regency Palace,Mumbai,9595,2.5
Bay Residency,Mumbai,3931,2.7
Resort Retreat,Mumbai,1436,3.8
Bay Oasis,Chennai,2959,2.9
Resort Residency,Chennai,6806,4.4
Resort Gardens,Chennai,12962,2.8
Heights Inn,Chennai,3367,3.3
Bay Retreat,Chennai,4735,2.9
Plaza Oasis,Chennai,10474,4.5
Heights Gardens,Chennai,12199,3.2
Inn Heights,Kolkata,11141,3.3
Bay Residency,Kolkata,14901,4.7
Inn Suites,Kolkata,5703,3.4
Resort Vista,Kolkata,1015,2.6
Suites Oasis,Kolkata,7897,3.7
Grand Inn,Kolkata,8940,5.0
Bay Heights,Bengaluru,13674,3.8
Heights Inn,Bengaluru,7638,2.9
Heights Palace,Bengaluru,5900,3.3
Suites Suites,Bengaluru,12590,4.1
Palace Palace,Bengaluru,2689,4.2
Hotel Heights,Bengaluru,4993,2.7
Plaza Retreat,Bengaluru,14717,4.4
Regency Vista,Bengaluru,11246,2.5
Resort Residency,Bengaluru,1525,4.6
Plaza Residency,Hyderabad,14286,3.1
Regency Suites,Hyderabad,3531,4.2
Regency Heights,Hyderabad,1251,4.5
Suites Residency,Hyderabad,9880,4.4
Plaza Inn,Hyderabad,11190,2.8
Palace Residency,Hyderabad,7971,2.8
Bay Gardens,Hyderabad,4140,2.8
Grand Retreat,Hyderabad,8253,4.2
Regency Gardens,Hyderabad,7408,2.7
Hotel Gardens,Pune,9105,4.4
Suites Palace,Pune,7575,2.9
Plaza Gardens,Pune,6866,3.5
Heights Palace,Pune,4644,3.3
Heights Inn,Pune,8548,4.0
Grand Oasis,Pune,13438,2.8
Bay Gardens,Pune,14397,2.6
Plaza Residency,Pune,7847,3.6
Suites Vista,Pune,10511,4.7
Resort Residency,Ahmedabad,8095,3.9
Inn Palace,Ahmedabad,7728,3.7
Palace Palace,Ahmedabad,14376,4.7
Bay Retreat,Ahmedabad,3765,3.9
Plaza Suites,Ahmedabad,7727,4.9
Inn Suites,Ahmedabad,5104,3.9
Heights Lounge,Ahmedabad,3767,4.8
Plaza Residency,Ahmedabad,4543,4.3
Hotel Oasis,Ahmedabad,6714,4.5
Suites Lounge,Ahmedabad,12909,4.9
Heights Suites,Jaipur,2718,3.6
Grand Retreat,Jaipur,3898,4.0
Grand Inn,Jaipur,2949,2.7
Hotel Retreat,Jaipur,3755,2.5
Heights Retreat,Jaipur,9005,2.7
Inn Residency,Jaipur,10974,2.8
Royal Heights,Jaipur,6155,5.0
Regency Residency,Jaipur,10434,4.6
Regency Oasis,Lucknow,3255,2.7
Inn Palace,Lucknow,6933,4.6
Heights Heights,Lucknow,1916,2.8
Palace Palace,Lucknow,6797,3.4
Resort Residency,Lucknow,11147,2.8
Heights Palace,Lucknow,4660,4.1
Suites Residency,Delhi,1293,4.8
Inn Heights,Delhi,8519,2.6
Resort Oasis,Delhi,6235,3.5
Heights Palace,Delhi,10162,2.9
Hotel Residency,Delhi,4265,4.9
Regency Gardens,Delhi,14445,3.6
Grand Vista,Delhi,7025,4.9
Plaza Inn,Mumbai,5213,4.6
Suites Vista,Mumbai,6278,4.6
Bay Oasis,Mumbai,6062,2.7
Resort Oasis,Mumbai,9713,3.6
Palace Lounge,Mumbai,11104,3.5
Heights Retreat,Mumbai,12705,3.0
Plaza Gardens,Chennai,11488,3.7
Resort Vista,Chennai,13480,4.1
Royal Inn,Chennai,12831,4.4
Suites Inn,Chennai,1975,3.7
Regency Inn,Chennai,12351,3.0
Royal Heights,Chennai,2787,3.3
Regency Vista,Chennai,4132,3.4
Bay Inn,Kolkata,12397,3.3
Bay Retreat,Kolkata,11553,3.6
Resort Heights,Kolkata,4091,5.0
Grand Inn,Kolkata,12162,2.5
Bay Residency,Kolkata,5059,3.7
Suites Residency,Kolkata,3401,4.4
Grand Gardens,Bengaluru,869,4.1
Inn Inn,Bengaluru,9341,2.8
Palace Lounge,Bengaluru,10410,2.9
Hotel Oasis,Bengaluru,2830,4.6
Heights Retreat,Bengaluru,4564,3.5
Heights Gardens,Bengaluru,8883,3.2
Bay Inn,Bengaluru,14251,3.2
Inn Suites,Bengaluru,9623,4.4
Plaza Palace,Bengaluru,3974,3.1
Grand Lounge,Hyderabad,11552,3.6
Inn Palace,Hyderabad,2423,3.8
Plaza Residency,Hyderabad,13326,3.5
Bay Heights,Hyderabad,11583,3.3
Inn Lounge,Hyderabad,13454,3.5
Regency Oasis,Hyderabad,5548,4.6
Regency Suites,Hyderabad,14868,4.4
Heights Suites,Hyderabad,10971,3.9
Plaza Residency,Hyderabad,2019,4.7
Grand Palace,Pune,9650,3.4
Inn Inn,Pune,11025,4.8
Palace Residency,Pune,12126,5.0
Resort Vista,Pune,5707,4.3
Resort Oasis,Pune,9940,2.8
Bay Vista,Pune,9025,3.2
Hotel Retreat,Pune,10798,4.2
Inn Gardens,Pune,5066,4.4
Royal Heights,Pune,6139,4.6
Royal Suites,Ahmedabad,10550,3.6
Bay Lounge,Ahmedabad,13068,2.9
Heights Suites,Ahmedabad,9904,3.9
Palace Heights,Ahmedabad,3316,4.0
Palace Retreat,Ahmedabad,8113,3.9
Suites Palace,Ahmedabad,4989,2.6
Grand Retreat,Ahmedabad,7662,4.4
Plaza Vista,Ahmedabad,14818,3.7
Plaza Vista,Ahmedabad,6920,2.8
Heights Retreat,Ahmedabad,14523,2.9
Palace Vista,Jaipur,7341,4.1
Hotel Inn,Jaipur,3853,3.9
Resort Lounge,Jaipur,9447,2.7
Plaza Suites,Jaipur,7513,3.7
Heights Residency,Jaipur,12725,4.3
Grand Palace,Jaipur,13020,3.2
Royal Gardens,Jaipur,13664,2.7
Bay Retreat,Jaipur,1571,3.7
Regency Lounge,Lucknow,6573,4.3
Hotel Inn,Lucknow,10634,5.0
Royal Suites,Lucknow,11448,4.8
Hotel Heights,Lucknow,2764,3.4
Suites Gardens,Lucknow,7494,3.5
Grand Vista,Lucknow,13870,2.9
Grand Lounge,Delhi,5658,2.8
